,metodo,sujeito,avg_accuracy,kappa
0,eegnet64,1,0.7569444444444444,0.6759259259259259
1,eegnet64,2,0.4704861111111111,0.2939814814814815
2,eegnet64,3,0.8506944444444444,0.8009259259259259
3,eegnet64,4,0.5746527777777778,0.43287037037037035
4,eegnet64,5,0.5677083333333334,0.42361111111111116
5,eegnet64,6,0.5347222222222222,0.37962962962962965
6,eegnet64,7,0.703125,0.6041666666666667
7,eegnet64,8,0.8038194444444444,0.7384259259259259
8,eegnet64,9,0.8420138888888888,0.7893518518518519
9,eegnet32,1,0.7777777777777778,0.7037037037037037
10,eegnet32,2,0.4739583333333333,0.29861111111111116
11,eegnet32,3,0.8385416666666666,0.7847222222222222
12,eegnet32,4,0.5746527777777778,0.43287037037037035
13,eegnet32,5,0.5052083333333334,0.3402777777777778
14,eegnet32,6,0.4878472222222222,0.31712962962962965
15,eegnet32,7,0.7083333333333334,0.6111111111111112
16,eegnet32,8,0.796875,0.7291666666666667
17,eegnet32,9,0.859375,0.8125
18,df_TT_64,1,0.7378472222222222,0.650462962962963
19,df_TT_64,2,0.4392361111111111,0.25231481481481477
20,df_TT_64,3,0.8663194444444444,0.8217592592592593
21,df_TT_64,4,0.5590277777777778,0.4120370370370371
22,df_TT_64,5,0.4375,0.25
23,df_TT_64,6,0.5173611111111112,0.3564814814814815
24,df_TT_64,7,0.7864583333333334,0.7152777777777778
25,df_TT_64,8,0.8263888888888888,0.7685185185185185
26,df_TT_64,9,0.8645833333333334,0.8194444444444444
27,df_TF_64,1,0.7517361111111112,0.6689814814814814
28,df_TF_64,2,0.4861111111111111,0.31481481481481477
29,df_TF_64,3,0.8628472222222222,0.8171296296296297
30,df_TF_64,4,0.5434027777777778,0.3912037037037037
31,df_TF_64,5,0.4288194444444444,0.23842592592592593
32,df_TF_64,6,0.53125,0.375
33,df_TF_64,7,0.7482638888888888,0.6643518518518519
34,df_TF_64,8,0.8263888888888888,0.7685185185185185
35,df_TF_64,9,0.8784722222222222,0.837962962962963
36,df_FT_64,1,0.7361111111111112,0.6481481481481481
37,df_FT_64,2,0.4444444444444444,0.2592592592592593
38,df_FT_64,3,0.8524305555555556,0.8032407407407407
39,df_FT_64,4,0.5815972222222222,0.44212962962962965
40,df_FT_64,5,0.4791666666666667,0.3055555555555556
41,df_FT_64,6,0.5503472222222222,0.4004629629629629
42,df_FT_64,7,0.7447916666666666,0.6597222222222222
43,df_FT_64,8,0.8194444444444444,0.7592592592592593
44,df_FT_64,9,0.8524305555555556,0.8032407407407407
45,df_FF_64,1,0.7569444444444444,0.6759259259259259
46,df_FF_64,2,0.4704861111111111,0.2939814814814815
47,df_FF_64,3,0.8472222222222222,0.7962962962962963
48,df_FF_64,4,0.5711805555555556,0.4282407407407407
49,df_FF_64,5,0.453125,0.27083333333333337
50,df_FF_64,6,0.515625,0.35416666666666663
51,df_FF_64,7,0.7881944444444444,0.7175925925925926
52,df_FF_64,8,0.8125,0.75
53,df_FF_64,9,0.8680555555555556,0.8240740740740741
54,df_TT_32,1,0.7465277777777778,0.662037037037037
55,df_TT_32,2,0.5034722222222222,0.3379629629629629
56,df_TT_32,3,0.8854166666666666,0.8472222222222222
57,df_TT_32,4,0.5954861111111112,0.46064814814814814
58,df_TT_32,5,0.4982638888888889,0.3310185185185185
59,df_TT_32,6,0.5607638888888888,0.41435185185185186
60,df_TT_32,7,0.7864583333333334,0.7152777777777778
61,df_TT_32,8,0.8177083333333334,0.7569444444444444
62,df_TT_32,9,0.8680555555555556,0.8240740740740741
63,df_TF_32,1,0.7430555555555556,0.6574074074074074
64,df_TF_32,2,0.4826388888888889,0.31018518518518523
65,df_TF_32,3,0.8559027777777778,0.8078703703703703
66,df_TF_32,4,0.5694444444444444,0.42592592592592593
67,df_TF_32,5,0.4427083333333333,0.2569444444444444
68,df_TF_32,6,0.5364583333333334,0.3819444444444444
69,df_TF_32,7,0.7829861111111112,0.7106481481481481
70,df_TF_32,8,0.8020833333333334,0.7361111111111112
71,df_TF_32,9,0.8732638888888888,0.8310185185185185
72,df_FT_32,1,0.75,0.6666666666666667
73,df_FT_32,2,0.46875,0.29166666666666663
74,df_FT_32,3,0.8576388888888888,0.8101851851851851
75,df_FT_32,4,0.5746527777777778,0.43287037037037035
76,df_FT_32,5,0.4930555555555556,0.32407407407407407
77,df_FT_32,6,0.5190972222222222,0.3587962962962963
78,df_FT_32,7,0.7777777777777778,0.7037037037037037
79,df_FT_32,8,0.8125,0.75
80,df_FT_32,9,0.8576388888888888,0.8101851851851851
81,df_FF_32,1,0.7673611111111112,0.6898148148148149
82,df_FF_32,2,0.46875,0.29166666666666663
83,df_FF_32,3,0.8715277777777778,0.8287037037037037
84,df_FF_32,4,0.5503472222222222,0.4004629629629629
85,df_FF_32,5,0.4652777777777778,0.2870370370370371
86,df_FF_32,6,0.5243055555555556,0.3657407407407407
87,df_FF_32,7,0.7621527777777778,0.6828703703703703
88,df_FF_32,8,0.8194444444444444,0.7592592592592593
89,df_FF_32,9,0.859375,0.8125
