subjects,session,fold_number,trial,window_test_start,label,proba_left_hand,proba_right_hand,proba_feet,proba_tongue
2,"['session_T', 'session_E']",1,0,0.5,0,0.2906,0.2152,0.0088,0.4855
2,"['session_T', 'session_E']",1,1,0.5,1,0.1418,0.2973,0.0404,0.5205
2,"['session_T', 'session_E']",1,2,0.5,3,0.1588,0.3222,0.4016,0.1174
2,"['session_T', 'session_E']",1,3,0.5,3,0.141,0.0701,0.0087,0.7802
2,"['session_T', 'session_E']",1,4,0.5,3,0.1877,0.2947,0.0163,0.5012
2,"['session_T', 'session_E']",1,5,0.5,0,0.3646,0.3705,0.0589,0.2059
2,"['session_T', 'session_E']",1,6,0.5,1,0.2629,0.2162,0.0114,0.5095
2,"['session_T', 'session_E']",1,7,0.5,2,0.0744,0.1399,0.6671,0.1186
2,"['session_T', 'session_E']",1,8,0.5,0,0.3753,0.3968,0.0346,0.1933
2,"['session_T', 'session_E']",1,9,0.5,3,0.1628,0.33,0.0051,0.5021
2,"['session_T', 'session_E']",1,10,0.5,3,0.3132,0.3091,0.0167,0.3611
2,"['session_T', 'session_E']",1,11,0.5,3,0.1717,0.2565,0.0093,0.5625
2,"['session_T', 'session_E']",1,12,0.5,1,0.1591,0.3853,0.2939,0.1617
2,"['session_T', 'session_E']",1,13,0.5,0,0.2984,0.4519,0.0258,0.2238
2,"['session_T', 'session_E']",1,14,0.5,1,0.3291,0.1256,0.015,0.5302
2,"['session_T', 'session_E']",1,15,0.5,0,0.1732,0.5206,0.0357,0.2705
2,"['session_T', 'session_E']",1,16,0.5,3,0.1772,0.1035,0.0219,0.6974
2,"['session_T', 'session_E']",1,17,0.5,2,0.1395,0.2971,0.1833,0.38
2,"['session_T', 'session_E']",1,18,0.5,2,0.2283,0.1003,0.549,0.1224
2,"['session_T', 'session_E']",1,19,0.5,2,0.0288,0.0146,0.9379,0.0187
2,"['session_T', 'session_E']",1,20,0.5,0,0.1615,0.4036,0.0554,0.3795
2,"['session_T', 'session_E']",1,21,0.5,0,0.2769,0.0983,0.0184,0.6064
2,"['session_T', 'session_E']",1,22,0.5,1,0.2164,0.1686,0.0587,0.5562
2,"['session_T', 'session_E']",1,23,0.5,3,0.0594,0.0731,0.6843,0.1832
2,"['session_T', 'session_E']",1,24,0.5,0,0.1625,0.4579,0.0466,0.333
2,"['session_T', 'session_E']",1,25,0.5,1,0.2075,0.3399,0.016,0.4366
2,"['session_T', 'session_E']",1,26,0.5,3,0.2372,0.0678,0.0699,0.6251
2,"['session_T', 'session_E']",1,27,0.5,1,0.2068,0.3718,0.0196,0.4017
2,"['session_T', 'session_E']",1,28,0.5,0,0.301,0.3448,0.0103,0.344
2,"['session_T', 'session_E']",1,29,0.5,3,0.1845,0.221,0.0682,0.5263
2,"['session_T', 'session_E']",1,30,0.5,3,0.1145,0.1411,0.1885,0.5559
2,"['session_T', 'session_E']",1,31,0.5,0,0.4647,0.2482,0.0205,0.2666
2,"['session_T', 'session_E']",1,32,0.5,3,0.1771,0.0747,0.0223,0.7259
2,"['session_T', 'session_E']",1,33,0.5,1,0.2851,0.1346,0.022,0.5583
2,"['session_T', 'session_E']",1,34,0.5,1,0.1815,0.2007,0.3325,0.2852
2,"['session_T', 'session_E']",1,35,0.5,3,0.1474,0.6679,0.0335,0.1512
2,"['session_T', 'session_E']",1,36,0.5,2,0.1047,0.2423,0.0294,0.6236
2,"['session_T', 'session_E']",1,37,0.5,2,0.0902,0.2093,0.4726,0.2279
2,"['session_T', 'session_E']",1,38,0.5,2,0.1986,0.296,0.2758,0.2296
2,"['session_T', 'session_E']",1,39,0.5,3,0.1715,0.2574,0.1076,0.4635
2,"['session_T', 'session_E']",1,40,0.5,2,0.1384,0.1442,0.4314,0.2861
2,"['session_T', 'session_E']",1,41,0.5,1,0.0976,0.4809,0.0846,0.3369
2,"['session_T', 'session_E']",1,42,0.5,3,0.2061,0.1172,0.0282,0.6485
2,"['session_T', 'session_E']",1,43,0.5,1,0.1027,0.0757,0.1718,0.6498
2,"['session_T', 'session_E']",1,44,0.5,0,0.2622,0.4285,0.204,0.1054
2,"['session_T', 'session_E']",1,45,0.5,0,0.1711,0.3935,0.0581,0.3773
2,"['session_T', 'session_E']",1,46,0.5,2,0.0587,0.0692,0.8141,0.058
2,"['session_T', 'session_E']",1,47,0.5,2,0.0752,0.0449,0.8379,0.042
2,"['session_T', 'session_E']",1,48,0.5,0,0.232,0.1981,0.1116,0.4584
2,"['session_T', 'session_E']",1,49,0.5,0,0.1681,0.1805,0.0096,0.6419
2,"['session_T', 'session_E']",1,50,0.5,0,0.1441,0.0851,0.0121,0.7587
2,"['session_T', 'session_E']",1,51,0.5,1,0.1372,0.408,0.0263,0.4285
2,"['session_T', 'session_E']",1,52,0.5,3,0.1458,0.2732,0.0461,0.5349
2,"['session_T', 'session_E']",1,53,0.5,2,0.0914,0.0552,0.7153,0.1381
2,"['session_T', 'session_E']",1,54,0.5,1,0.1049,0.2781,0.0656,0.5514
2,"['session_T', 'session_E']",1,55,0.5,0,0.3974,0.1942,0.0106,0.3978
