subjects,session,fold_number,trial,window_test_start,label,proba_left_hand,proba_right_hand,proba_feet,proba_tongue
2,"['session_T', 'session_E']",1,0,0.5,0,0.5661,0.1379,0.0066,0.2894
2,"['session_T', 'session_E']",1,1,0.5,1,0.2892,0.3859,0.014,0.3109
2,"['session_T', 'session_E']",1,2,0.5,3,0.0933,0.063,0.782,0.0617
2,"['session_T', 'session_E']",1,3,0.5,3,0.4337,0.0869,0.0045,0.4749
2,"['session_T', 'session_E']",1,4,0.5,3,0.4413,0.1815,0.0223,0.3549
2,"['session_T', 'session_E']",1,5,0.5,0,0.286,0.2422,0.0182,0.4536
2,"['session_T', 'session_E']",1,6,0.5,1,0.4087,0.1518,0.0101,0.4294
2,"['session_T', 'session_E']",1,7,0.5,2,0.174,0.0842,0.6734,0.0684
2,"['session_T', 'session_E']",1,8,0.5,0,0.6379,0.0912,0.0079,0.263
2,"['session_T', 'session_E']",1,9,0.5,3,0.098,0.4879,0.0127,0.4014
2,"['session_T', 'session_E']",1,10,0.5,3,0.1204,0.4602,0.0184,0.401
2,"['session_T', 'session_E']",1,11,0.5,3,0.4883,0.1206,0.0051,0.386
2,"['session_T', 'session_E']",1,12,0.5,1,0.4156,0.2283,0.1072,0.2489
2,"['session_T', 'session_E']",1,13,0.5,0,0.3235,0.5125,0.1018,0.0622
2,"['session_T', 'session_E']",1,14,0.5,1,0.741,0.0492,0.0663,0.1435
2,"['session_T', 'session_E']",1,15,0.5,0,0.4098,0.1692,0.1173,0.3037
2,"['session_T', 'session_E']",1,16,0.5,3,0.0229,0.3905,0.0166,0.57
2,"['session_T', 'session_E']",1,17,0.5,2,0.2093,0.1059,0.4337,0.2511
2,"['session_T', 'session_E']",1,18,0.5,2,0.7476,0.0772,0.0808,0.0944
2,"['session_T', 'session_E']",1,19,0.5,2,0.0236,0.0109,0.9553,0.0102
2,"['session_T', 'session_E']",1,20,0.5,0,0.0867,0.1698,0.6191,0.1243
2,"['session_T', 'session_E']",1,21,0.5,0,0.674,0.066,0.0052,0.2547
