subjects,session,fold_number,trial,window_test_start,label,proba_left_hand,proba_right_hand,proba_feet,proba_tongue
2,"['session_T', 'session_E']",1,0,0.5,0,0.135,0.2306,0.0079,0.6265
2,"['session_T', 'session_E']",1,1,0.5,1,0.1103,0.0664,0.0254,0.7979
2,"['session_T', 'session_E']",1,2,0.5,3,0.1083,0.2354,0.5773,0.0791
2,"['session_T', 'session_E']",1,3,0.5,3,0.1307,0.0625,0.0063,0.8005
2,"['session_T', 'session_E']",1,4,0.5,3,0.2153,0.0626,0.0183,0.7037
2,"['session_T', 'session_E']",1,5,0.5,0,0.1922,0.3163,0.1127,0.3789
2,"['session_T', 'session_E']",1,6,0.5,1,0.4251,0.3376,0.0221,0.2152
2,"['session_T', 'session_E']",1,7,0.5,2,0.1844,0.232,0.1951,0.3885
2,"['session_T', 'session_E']",1,8,0.5,0,0.2204,0.3856,0.0231,0.3709
2,"['session_T', 'session_E']",1,9,0.5,3,0.0492,0.6168,0.0069,0.3271
2,"['session_T', 'session_E']",1,10,0.5,3,0.1468,0.0325,0.0143,0.8064
2,"['session_T', 'session_E']",1,11,0.5,3,0.306,0.0635,0.0096,0.621
2,"['session_T', 'session_E']",1,12,0.5,1,0.1999,0.6265,0.0647,0.109
2,"['session_T', 'session_E']",1,13,0.5,0,0.127,0.7397,0.0158,0.1174
2,"['session_T', 'session_E']",1,14,0.5,1,0.2323,0.1101,0.0101,0.6475
2,"['session_T', 'session_E']",1,15,0.5,0,0.1623,0.6313,0.0962,0.1102
2,"['session_T', 'session_E']",1,16,0.5,3,0.0961,0.06,0.0086,0.8353
2,"['session_T', 'session_E']",1,17,0.5,2,0.2468,0.1733,0.3727,0.2073
2,"['session_T', 'session_E']",1,18,0.5,2,0.3508,0.2249,0.3199,0.1044
2,"['session_T', 'session_E']",1,19,0.5,2,0.0168,0.0144,0.959,0.0098
2,"['session_T', 'session_E']",1,20,0.5,0,0.0304,0.1168,0.7304,0.1223
2,"['session_T', 'session_E']",1,21,0.5,0,0.1912,0.0621,0.0177,0.7289
