subjects,session,fold_number,trial,window_test_start,label,proba_left_hand,proba_right_hand,proba_feet,proba_tongue
2,"['session_T', 'session_E']",1,0,0.5,0,0.3075,0.3198,0.0273,0.3455
2,"['session_T', 'session_E']",1,1,0.5,1,0.2194,0.2372,0.1801,0.3632
2,"['session_T', 'session_E']",1,2,0.5,3,0.0248,0.0702,0.8444,0.0606
2,"['session_T', 'session_E']",1,3,0.5,3,0.1953,0.268,0.0299,0.5068
2,"['session_T', 'session_E']",1,4,0.5,3,0.2015,0.2174,0.1724,0.4087
2,"['session_T', 'session_E']",1,5,0.5,0,0.2629,0.3334,0.0769,0.3268
2,"['session_T', 'session_E']",1,6,0.5,1,0.3025,0.241,0.0466,0.4099
2,"['session_T', 'session_E']",1,7,0.5,2,0.0794,0.079,0.7651,0.0765
2,"['session_T', 'session_E']",1,8,0.5,0,0.3341,0.2893,0.1269,0.2498
2,"['session_T', 'session_E']",1,9,0.5,3,0.2613,0.4793,0.0357,0.2237
2,"['session_T', 'session_E']",1,10,0.5,3,0.1989,0.1971,0.1196,0.4844
2,"['session_T', 'session_E']",1,11,0.5,3,0.1934,0.4363,0.0623,0.3079
2,"['session_T', 'session_E']",1,12,0.5,1,0.2742,0.3693,0.1002,0.2562
2,"['session_T', 'session_E']",1,13,0.5,0,0.3481,0.3084,0.02,0.3236
2,"['session_T', 'session_E']",1,14,0.5,1,0.3281,0.3154,0.0442,0.3123
2,"['session_T', 'session_E']",1,15,0.5,0,0.3067,0.3065,0.1125,0.2743
2,"['session_T', 'session_E']",1,16,0.5,3,0.2019,0.3229,0.0558,0.4194
2,"['session_T', 'session_E']",1,17,0.5,2,0.2173,0.2525,0.1627,0.3676
2,"['session_T', 'session_E']",1,18,0.5,2,0.26,0.205,0.4319,0.1031
2,"['session_T', 'session_E']",1,19,0.5,2,0.0959,0.0735,0.7732,0.0575
2,"['session_T', 'session_E']",1,20,0.5,0,0.1988,0.2986,0.1191,0.3834
2,"['session_T', 'session_E']",1,21,0.5,0,0.4127,0.2329,0.0392,0.3152
2,"['session_T', 'session_E']",1,22,0.5,1,0.2317,0.2329,0.2253,0.3101
2,"['session_T', 'session_E']",1,23,0.5,3,0.2248,0.2483,0.2787,0.2481
2,"['session_T', 'session_E']",1,24,0.5,0,0.2595,0.264,0.1766,0.2999
2,"['session_T', 'session_E']",1,25,0.5,1,0.3086,0.269,0.0283,0.394
2,"['session_T', 'session_E']",1,26,0.5,3,0.3463,0.1874,0.0856,0.3807
2,"['session_T', 'session_E']",1,27,0.5,1,0.2877,0.4298,0.1172,0.1654
2,"['session_T', 'session_E']",1,28,0.5,0,0.2777,0.2093,0.0514,0.4616
